PLL	HL	STATE	OFFSET	TransactionID	UserName	TransactionDate	Amount	PaymentMethod	TransactionType	Status	Remarks	
TransactionHistory	[63|8]	18	D	7115	18	Quinn_S	2024-11-16	200.20000000	Credit Card	1	1	Processed payment
TransactionHistory	[41|8]	15	D	7288	15	Nina_O	2024-11-19	125.75000000	PayPal	2	1	
TransactionHistory	[59|8]	14	D	7331	14	Maya_R	2024-11-20	399.99000000	Debit Card	1	2	Failed payment
TransactionHistory	[58|8]	12	D	7453	12	Kevin_F	2024-11-22	600.55000000	Cash	1	0	Transaction pending
TransactionHistory	[57|8]	11	D	7513	11	Jake_L	2024-11-23	12.30000000	PayPal	1	1	Purchase of goods
TransactionHistory	[66|8]	10	D	7572	10	Isla_Davis	2024-11-24	800.65000000	Bank Transfer	1	1	Order completed
TransactionHistory	[61|8]	8	D	7711	8	Grace_Taylor	2024-11-26	125.40000000	Cash	2	1	Refund completed
TransactionHistory	[64|8]	6	D	7835	6	Eva_Smith	2024-11-28	0.99000000	Debit Card	1	1	Purchase of a pen
TransactionHistory	[46|8]	5	D	7901	5	Diana_K	2024-11-29	750.20000000	Credit Card	1	1	
TransactionHistory	[56|8]	4	D	7949	4	Charlie_X	2024-11-30	99.99000000	Cash	1	2	Payment failed
TransactionHistory	[65|8]	3	D	8007	3	Bob_456	2024-12-01	500.75000000	Bank Transfer	2	1	Refund processed
TransactionHistory	[63|8]	1	D	8129	1	John_Doe123	2024-12-03	100.50000000	Credit Card	1	1	First purchase
